,points,1_1_p,1_2_p,1_3_p,2_1_p,2_2_p,2_3_p,1_1_r_C,1_1_r_L,1_1_r_O,1_1_r_S,1_1_r_W,1_2_r_C,1_2_r_L,1_2_r_O,1_2_r_S,1_2_r_W,1_3_r_2L,1_3_r_2S,1_3_r_2W,1_3_r_3G,1_3_r_C,1_3_r_D,1_3_r_L,1_3_r_O,1_3_r_S,1_3_r_W,2_1_r_C,2_1_r_L,2_1_r_O,2_1_r_S,2_1_r_W,2_2_r_2O,2_2_r_C,2_2_r_L,2_2_r_O,2_2_r_S,2_2_r_W,2_3_r_2C,2_3_r_2L,2_3_r_2O,2_3_r_2S,2_3_r_2W,2_3_r_3G,2_3_r_B,2_3_r_C,2_3_r_D,2_3_r_L,2_3_r_O,2_3_r_S,2_3_r_W
22,6,0.1389,0.1111,0.0833,0.0833,0.1111,0.0556,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,10,0.1111,0.1111,0.0833,0.1389,0.0833,0.0556,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,10,0.1111,0.1389,0.0833,0.1111,0.0833,0.0556,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,6,0.0833,0.1111,0.0556,0.1389,0.1111,0.0556,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,4,0.1111,0.1389,0.1111,0.1389,0.0833,0.0556,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,4,0.1389,0.0556,0.0556,0.1111,0.1389,0.0833,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,8,0.0833,0.1389,0.1111,0.1389,0.0833,0.0556,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,11,0.1111,0.1389,0.1111,0.0833,0.1111,0.0556,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,7,0.1111,0.1389,0.0833,0.0833,0.0556,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,6,0.1111,0.1111,0.0833,0.1389,0.0833,0.0556,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
