gameNum,player,points,win,1_1_n,1_1_r,1_1_p,1_1_rp,1_2_n,1_2_r,1_2_p,1_2_rp,1_3_n,1_3_r,1_3_p,1_3_rp,2_1_n,2_1_r,2_1_p,2_1_rp,2_2_n,2_2_r,2_2_p,2_2_rp,2_3_n,2_3_r,2_3_p,2_3_rp,L,C,S,W,O,resource_pct,3G,2L,2C,2S,2W,2O,has_port,D,0.0278,0.0556,0.0833,0.1111,0.1389,probability_score,probability_score_2
6,2,6,0,5,L,0.1111,L0.1111,6,S,0.1389,S0.1389,11,W,0.0556,W0.0556,8,O,0.1389,O0.1389,10,C,0.0833,C0.0833,0,3G,0,3G0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,2,12,129
6,3,6,0,6,S,0.1389,S0.1389,9,S,0.1111,S0.1111,10,W,0.0833,W0.0833,4,L,0.0833,L0.0833,9,C,0.1111,C0.1111,11,W,0.0556,W0.0556,1,1,2,2,0,0.8,0,0,0,0,0,0,0,0,0,1,2,2,1,21,129
6,4,10,1,5,W,0.1111,W0.1111,9,C,0.1111,C0.1111,10,C,0.0833,C0.0833,6,S,0.1389,S0.1389,4,L,0.0833,L0.0833,3,O,0.0556,O0.0556,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,1,21,129
7,1,10,1,5,C,0.1111,C0.1111,8,C,0.1389,C0.1389,10,W,0.0833,W0.0833,9,L,0.1111,L0.1111,10,S,0.0833,S0.0833,11,W,0.0556,W0.0556,1,2,1,2,0,0.8,0,0,0,0,0,0,0,0,0,1,2,2,1,21,129
7,2,6,0,4,O,0.0833,O0.0833,5,C,0.1111,C0.1111,11,W,0.0556,W0.0556,6,S,0.1389,S0.1389,9,L,0.1111,L0.1111,3,W,0.0556,W0.0556,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,1,20,114
7,3,4,0,5,C,0.1111,C0.1111,6,S,0.1389,S0.1389,9,W,0.1111,W0.1111,8,O,0.1389,O0.1389,4,O,0.0833,O0.0833,3,W,0.0556,W0.0556,0,1,1,2,2,0.8,0,0,0,0,0,0,0,0,0,1,1,2,2,17,177
7,4,4,0,6,S,0.1389,S0.1389,3,W,0.0556,W0.0556,11,L,0.0556,L0.0556,5,S,0.1111,S0.1111,8,O,0.1389,O0.1389,10,S,0.0833,S0.0833,1,0,3,1,1,0.8,0,0,0,0,0,0,0,0,0,2,1,1,2,15,141
8,1,8,0,4,L,0.0833,L0.0833,6,C,0.1389,C0.1389,9,W,0.1111,W0.1111,8,O,0.1389,O0.1389,4,L,0.0833,L0.0833,3,S,0.0556,S0.0556,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,2,16,156
8,2,11,1,5,O,0.1111,O0.1111,6,S,0.1389,S0.1389,9,W,0.1111,W0.1111,4,L,0.0833,L0.0833,5,O,0.1111,O0.1111,11,S,0.0556,S0.0556,1,0,2,1,2,0.8,0,0,0,0,0,0,0,0,0,1,1,3,1,22,182
8,3,7,0,5,O,0.1111,O0.1111,8,O,0.1389,O0.1389,10,W,0.0833,W0.0833,4,C,0.0833,C0.0833,11,L,0.0556,L0.0556,0,2O,0,2O0,1,1,0,1,2,0.8,0,0,0,0,0,1,1,0,0,1,2,1,1,16,81
8,4,6,0,5,O,0.1111,O0.1111,9,W,0.1111,W0.1111,10,S,0.0833,S0.0833,8,W,0.1389,W0.1389,4,C,0.0833,C0.0833,3,L,0.0556,L0.0556,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,2,2,1,21,129
9,1,6,0,8,O,0.1389,O0.1389,4,L,0.0833,L0.0833,3,W,0.0556,W0.0556,5,W,0.1111,W0.1111,10,L,0.0833,L0.0833,0,D,0,D0,2,0,0,2,1,0.6,0,0,0,0,0,0,0,1,0,1,2,1,1,17,81
9,2,9,0,4,O,0.0833,O0.0833,8,L,0.1389,L0.1389,10,S,0.0833,S0.0833,6,C,0.1389,C0.1389,4,L,0.0833,L0.0833,11,O,0.0556,O0.0556,2,1,1,0,2,0.8,0,0,0,0,0,0,0,0,0,1,3,0,2,15,185
9,3,9,0,6,S,0.1389,S0.1389,9,L,0.1111,L0.1111,3,W,0.0556,W0.0556,5,C,0.1111,C0.1111,9,C,0.1111,C0.1111,10,S,0.0833,S0.0833,1,2,2,1,0,0.8,0,0,0,0,0,0,0,0,0,1,1,3,1,22,182
